competencia;tp_ocde;chave_ies;co_ies;co_curso;co_municipio;tp_categoria_administrativa;ano_funcionamento;qt_matricula_total;qt_ingresso_total;qt_concluinte_total;qt_vaga_total;qt_inscrito_total
1995;Fisioterapia;149_1995;149;323;330455;ERRO;1995;1474,0;284,0;0,0;240;354
1995;Fisioterapia;221_1995;221;327;292740;ERRO;1995;650,0;102,0;0,0;100;1613
1995;Medicina;224_1995;224;301;352590;ERRO;1995;381,0;60,0;49,0;60;2808
1995;Odontologia;229_1995;229;301;355030;ERRO;1995;312,0;76,0;69,0;75;3370
1995;Fisioterapia;231_1995;231;317;420540;ERRO;1995;160,0;80,0;0,0;80;1599
1995;Odontologia;293_1995;293;345;330455;ERRO;1995;59,0;59,0;0,0;60;566
1995;Odontologia;307_1995;307;335;310620;ERRO;1995;443,0;120,0;120,0;120;2363
1995;Odontologia;309_1995;309;312;510340;ERRO;1995;378,0;80,0;58,0;80;518
1995;Medicina;316_1995;316;331;150140;ERRO;1995;936,0;150,0;160,0;150;2445
1995;Medicina;331_1995;331;309;330620;ERRO;1995;2072,0;195,0;10,0;200;4660
1995;Fisioterapia;342_1995;342;302;354660;ERRO;1995;714,0;100,0;148,0;100;439
1995;Fisioterapia;363_1995;363;305;350950;ERRO;1995;325,0;90,0;63,0;90;542
1995;Medicina;364_1995;364;310;431410;ERRO;1995;320,0;50,0;40,0;50;1182
1995;Fisioterapia;384_1995;384;301;314810;ERRO;1995;227,0;60,0;39,0;60;334
1995;Medicina;424_1995;424;327;411520;ERRO;1995;125,0;20,0;30,0;20;808
1995;Odontologia;460_1995;460;330;431690;ERRO;1995;304,0;39,0;71,0;70;1269
1995;Medicina;463_1995;463;324;261160;ERRO;1995;595,0;156,0;117,0;150;4347
1995;Odontologia;473_1995;473;304;355030;ERRO;1995;336,0;90,0;114,0;90;1550
1995;Fisioterapia;527_1995;527;309;431340;ERRO;1995;280,0;50,0;30,0;50;120
1995;Medicina;530_1995;530;311;330455;ERRO;1995;810,0;119,0;146,0;120;5693
1995;Odontologia;609_1995;609;311;280670;ERRO;1995;203,0;40,0;39,0;40;754
1995;Odontologia;636_1995;636;306;520110;ERRO;1995;296,0;62,0;63,0;60;1368
1995;Fisioterapia;652_1995;652;310;411370;ERRO;1995;231,0;40,0;48,0;40;810
1995;Odontologia;673_1995;673;301;312160;ERRO;1995;207,0;60,0;46,0;60;1085
1995;Fisioterapia;751_1995;751;375;330455;ERRO;1995;78,0;80,0;0,0;80;977
1995;Medicina;770_1995;770;301;410690;ERRO;1995;373,0;60,0;60,0;60;2015
1995;Fisioterapia;786_1995;786;305;410690;ERRO;1995;355,0;119,0;57,0;120;336
1995;Odontologia;786_1995;786;308;410690;ERRO;1995;319,0;60,0;0,0;60;986
1995;Medicina;788_1995;788;315;130260;ERRO;1995;478,0;80,0;75,0;80;1601
1995;Medicina;848_1995;848;326;330455;ERRO;1995;536,0;98,0;81,0;92;5300
1995;Odontologia;880_1995;880;324;420540;ERRO;1995;432,0;45,0;78,0;90;1771
1995;Odontologia;82_1995;82;323;230440;ERRO;1995;100,0;100,0;0,0;100;2033
1995;Odontologia;102_1995;102;302;310160;ERRO;1995;404,0;100,0;97,0;100;2977
1995;Odontologia;168_1995;168;310;520870;ERRO;1995;315,0;61,0;61,0;60;1450
1995;Fisioterapia;197_1995;197;301;530010;ERRO;1995;564,0;80,0;108,0;80;443
